TP	FP	TN	FN	TPR	FPR	Accuracy	Precision	Recall	Specificity	F1_Score	RSQ	parameter	parameter.value
2507	208	2227	58	0.9774	0.0854	0.9468	0.9234	0.9774	0.9146	0.9496	0	Skew	0.1.noSplitBins
2507	208	2227	58	0.9774	0.0854	0.9468	0.9234	0.9774	0.9146	0.9496	0.05	Skew	0.1.noSplitBins
2507	208	2227	58	0.9774	0.0854	0.9468	0.9234	0.9774	0.9146	0.9496	0.1	Skew	0.1.noSplitBins
2507	208	2227	58	0.9774	0.0854	0.9468	0.9234	0.9774	0.9146	0.9496	0.15	Skew	0.1.noSplitBins
2507	202	2233	58	0.9774	0.083	0.948	0.9254	0.9774	0.917	0.9507	0.2	Skew	0.1.noSplitBins
2506	198	2237	59	0.977	0.0813	0.9486	0.9268	0.977	0.9187	0.9512	0.25	Skew	0.1.noSplitBins
2503	186	2249	62	0.9758	0.0764	0.9504	0.9308	0.9758	0.9236	0.9528	0.3	Skew	0.1.noSplitBins
2494	161	2274	71	0.9723	0.0661	0.9536	0.9394	0.9723	0.9339	0.9556	0.35	Skew	0.1.noSplitBins
2478	124	2311	87	0.9661	0.0509	0.9578	0.9523	0.9661	0.9491	0.9592	0.4	Skew	0.1.noSplitBins
2458	82	2353	107	0.9583	0.0337	0.9622	0.9677	0.9583	0.9663	0.963	0.45	Skew	0.1.noSplitBins
2431	47	2388	134	0.9478	0.0193	0.9638	0.981	0.9478	0.9807	0.9641	0.5	Skew	0.1.noSplitBins
2403	25	2410	162	0.9368	0.0103	0.9626	0.9897	0.9368	0.9897	0.9625	0.55	Skew	0.1.noSplitBins
2365	8	2427	200	0.922	0.0033	0.9584	0.9966	0.922	0.9967	0.9579	0.6	Skew	0.1.noSplitBins
2320	6	2429	245	0.9045	0.0025	0.9498	0.9974	0.9045	0.9975	0.9487	0.65	Skew	0.1.noSplitBins
2228	3	2432	337	0.8686	0.0012	0.932	0.9987	0.8686	0.9988	0.9291	0.7	Skew	0.1.noSplitBins
2101	1	2434	464	0.8191	4e-04	0.907	0.9995	0.8191	0.9996	0.9004	0.75	Skew	0.1.noSplitBins
1874	0	2435	691	0.7306	0	0.8618	1	0.7306	1	0.8443	0.8	Skew	0.1.noSplitBins
1536	0	2435	1029	0.5988	0	0.7942	1	0.5988	1	0.7491	0.85	Skew	0.1.noSplitBins
1045	0	2435	1520	0.4074	0	0.696	1	0.4074	1	0.5789	0.9	Skew	0.1.noSplitBins
432	0	2435	2133	0.1684	0	0.5734	1	0.1684	1	0.2883	0.95	Skew	0.1.noSplitBins
2485	113	2322	80	0.9688	0.0464	0.9614	0.9565	0.9688	0.9536	0.9626	0	Skew	0.1.SplitBins
2485	113	2322	80	0.9688	0.0464	0.9614	0.9565	0.9688	0.9536	0.9626	0.05	Skew	0.1.SplitBins
2485	111	2324	80	0.9688	0.0456	0.9618	0.9572	0.9688	0.9544	0.963	0.1	Skew	0.1.SplitBins
2483	101	2334	82	0.968	0.0415	0.9634	0.9609	0.968	0.9585	0.9645	0.15	Skew	0.1.SplitBins
2474	82	2353	91	0.9645	0.0337	0.9654	0.9679	0.9645	0.9663	0.9662	0.2	Skew	0.1.SplitBins
2447	40	2395	118	0.954	0.0164	0.9684	0.9839	0.954	0.9836	0.9687	0.25	Skew	0.1.SplitBins
2407	15	2420	158	0.9384	0.0062	0.9654	0.9938	0.9384	0.9938	0.9653	0.3	Skew	0.1.SplitBins
2362	5	2430	203	0.9209	0.0021	0.9584	0.9979	0.9209	0.9979	0.9578	0.35	Skew	0.1.SplitBins
2303	3	2432	262	0.8979	0.0012	0.947	0.9987	0.8979	0.9988	0.9456	0.4	Skew	0.1.SplitBins
2236	1	2434	329	0.8717	4e-04	0.934	0.9996	0.8717	0.9996	0.9313	0.45	Skew	0.1.SplitBins
2156	1	2434	409	0.8405	4e-04	0.918	0.9995	0.8405	0.9996	0.9132	0.5	Skew	0.1.SplitBins
2019	0	2435	546	0.7871	0	0.8908	1	0.7871	1	0.8809	0.55	Skew	0.1.SplitBins
1852	0	2435	713	0.722	0	0.8574	1	0.722	1	0.8386	0.6	Skew	0.1.SplitBins
1678	0	2435	887	0.6542	0	0.8226	1	0.6542	1	0.7909	0.65	Skew	0.1.SplitBins
1449	0	2435	1116	0.5649	0	0.7768	1	0.5649	1	0.722	0.7	Skew	0.1.SplitBins
1163	0	2435	1402	0.4534	0	0.7196	1	0.4534	1	0.6239	0.75	Skew	0.1.SplitBins
845	0	2435	1720	0.3294	0	0.656	1	0.3294	1	0.4956	0.8	Skew	0.1.SplitBins
542	0	2435	2023	0.2113	0	0.5954	1	0.2113	1	0.3489	0.85	Skew	0.1.SplitBins
270	0	2435	2295	0.1053	0	0.541	1	0.1053	1	0.1905	0.9	Skew	0.1.SplitBins
32	0	2435	2533	0.0125	0	0.4934	1	0.0125	1	0.0246	0.95	Skew	0.1.SplitBins
2420	108	2327	145	0.9435	0.0444	0.9494	0.9573	0.9435	0.9556	0.9503	0	Skew	0.9.SplitBins
2420	108	2327	145	0.9435	0.0444	0.9494	0.9573	0.9435	0.9556	0.9503	0.05	Skew	0.9.SplitBins
2420	107	2328	145	0.9435	0.0439	0.9496	0.9577	0.9435	0.9561	0.9505	0.1	Skew	0.9.SplitBins
2412	99	2336	153	0.9404	0.0407	0.9496	0.9606	0.9404	0.9593	0.9504	0.15	Skew	0.9.SplitBins
2384	80	2355	181	0.9294	0.0329	0.9478	0.9675	0.9294	0.9671	0.9481	0.2	Skew	0.9.SplitBins
2327	41	2394	238	0.9072	0.0168	0.9442	0.9827	0.9072	0.9832	0.9434	0.25	Skew	0.9.SplitBins
2245	16	2419	320	0.8752	0.0066	0.9328	0.9929	0.8752	0.9934	0.9304	0.3	Skew	0.9.SplitBins
2133	7	2428	432	0.8316	0.0029	0.9122	0.9967	0.8316	0.9971	0.9067	0.35	Skew	0.9.SplitBins
2004	1	2434	561	0.7813	4e-04	0.8876	0.9995	0.7813	0.9996	0.877	0.4	Skew	0.9.SplitBins
1839	0	2435	726	0.717	0	0.8548	1	0.717	1	0.8351	0.45	Skew	0.9.SplitBins
1654	0	2435	911	0.6448	0	0.8178	1	0.6448	1	0.7841	0.5	Skew	0.9.SplitBins
1438	0	2435	1127	0.5606	0	0.7746	1	0.5606	1	0.7185	0.55	Skew	0.9.SplitBins
1225	0	2435	1340	0.4776	0	0.732	1	0.4776	1	0.6464	0.6	Skew	0.9.SplitBins
996	0	2435	1569	0.3883	0	0.6862	1	0.3883	1	0.5594	0.65	Skew	0.9.SplitBins
795	0	2435	1770	0.3099	0	0.646	1	0.3099	1	0.4732	0.7	Skew	0.9.SplitBins
588	0	2435	1977	0.2292	0	0.6046	1	0.2292	1	0.373	0.75	Skew	0.9.SplitBins
410	0	2435	2155	0.1598	0	0.569	1	0.1598	1	0.2756	0.8	Skew	0.9.SplitBins
201	0	2435	2364	0.0784	0	0.5272	1	0.0784	1	0.1453	0.85	Skew	0.9.SplitBins
57	0	2435	2508	0.0222	0	0.4984	1	0.0222	1	0.0435	0.9	Skew	0.9.SplitBins
4	0	2435	2561	0.0016	0	0.4878	1	0.0016	1	0.0031	0.95	Skew	0.9.SplitBins
2507	242	2193	58	0.9774	0.0994	0.94	0.912	0.9774	0.9006	0.9435	0	Skew	0.noSplitBins
2507	242	2193	58	0.9774	0.0994	0.94	0.912	0.9774	0.9006	0.9435	0.05	Skew	0.noSplitBins
2507	242	2193	58	0.9774	0.0994	0.94	0.912	0.9774	0.9006	0.9435	0.1	Skew	0.noSplitBins
