TP	FP	TN	FN	TPR	FPR	Accuracy	Precision	Recall	Specificity	F1_Score	RSQ	parameter	parameter.value
985	108	848	59	0.9435	0.113	0.9165	0.9012	0.9435	0.887	0.9219	0	ZI	60
985	108	848	59	0.9435	0.113	0.9165	0.9012	0.9435	0.887	0.9219	0.05	ZI	60
985	108	848	59	0.9435	0.113	0.9165	0.9012	0.9435	0.887	0.9219	0.1	ZI	60
985	108	848	59	0.9435	0.113	0.9165	0.9012	0.9435	0.887	0.9219	0.15	ZI	60
985	107	849	59	0.9435	0.1119	0.917	0.902	0.9435	0.8881	0.9223	0.2	ZI	60
985	106	850	59	0.9435	0.1109	0.9175	0.9028	0.9435	0.8891	0.9227	0.25	ZI	60
984	104	852	60	0.9425	0.1088	0.918	0.9044	0.9425	0.8912	0.9231	0.3	ZI	60
982	96	860	62	0.9406	0.1004	0.921	0.9109	0.9406	0.8996	0.9255	0.35	ZI	60
973	91	865	71	0.932	0.0952	0.919	0.9145	0.932	0.9048	0.9231	0.4	ZI	60
961	70	886	83	0.9205	0.0732	0.9235	0.9321	0.9205	0.9268	0.9263	0.45	ZI	60
938	49	907	106	0.8985	0.0513	0.9225	0.9504	0.8985	0.9487	0.9237	0.5	ZI	60
922	36	920	122	0.8831	0.0377	0.921	0.9624	0.8831	0.9623	0.9211	0.55	ZI	60
897	29	927	147	0.8592	0.0303	0.912	0.9687	0.8592	0.9697	0.9107	0.6	ZI	60
854	23	933	190	0.818	0.0241	0.8935	0.9738	0.818	0.9759	0.8891	0.65	ZI	60
811	17	939	233	0.7768	0.0178	0.875	0.9795	0.7768	0.9822	0.8665	0.7	ZI	60
743	13	943	301	0.7117	0.0136	0.843	0.9828	0.7117	0.9864	0.8256	0.75	ZI	60
663	11	945	381	0.6351	0.0115	0.804	0.9837	0.6351	0.9885	0.7718	0.8	ZI	60
550	8	948	494	0.5268	0.0084	0.749	0.9857	0.5268	0.9916	0.6866	0.85	ZI	60
416	4	952	628	0.3985	0.0042	0.684	0.9905	0.3985	0.9958	0.5683	0.9	ZI	60
198	0	956	846	0.1897	0	0.577	1	0.1897	1	0.3188	0.95	ZI	60
964	90	866	80	0.9234	0.0941	0.915	0.9146	0.9234	0.9059	0.919	0	ZI	70
964	90	866	80	0.9234	0.0941	0.915	0.9146	0.9234	0.9059	0.919	0.05	ZI	70
964	90	866	80	0.9234	0.0941	0.915	0.9146	0.9234	0.9059	0.919	0.1	ZI	70
964	90	866	80	0.9234	0.0941	0.915	0.9146	0.9234	0.9059	0.919	0.15	ZI	70
964	88	868	80	0.9234	0.0921	0.916	0.9163	0.9234	0.9079	0.9198	0.2	ZI	70
964	85	871	80	0.9234	0.0889	0.9175	0.919	0.9234	0.9111	0.9212	0.25	ZI	70
963	82	874	81	0.9224	0.0858	0.9185	0.9215	0.9224	0.9142	0.922	0.3	ZI	70
957	77	879	87	0.9167	0.0805	0.918	0.9255	0.9167	0.9195	0.9211	0.35	ZI	70
947	68	888	97	0.9071	0.0711	0.9175	0.933	0.9071	0.9289	0.9199	0.4	ZI	70
930	58	898	114	0.8908	0.0607	0.914	0.9413	0.8908	0.9393	0.9154	0.45	ZI	70
902	46	910	142	0.864	0.0481	0.906	0.9515	0.864	0.9519	0.9056	0.5	ZI	70
873	33	923	171	0.8362	0.0345	0.898	0.9636	0.8362	0.9655	0.8954	0.55	ZI	70
826	24	932	218	0.7912	0.0251	0.879	0.9718	0.7912	0.9749	0.8722	0.6	ZI	70
764	15	941	280	0.7318	0.0157	0.8525	0.9807	0.7318	0.9843	0.8382	0.65	ZI	70
707	8	948	337	0.6772	0.0084	0.8275	0.9888	0.6772	0.9916	0.8039	0.7	ZI	70
621	7	949	423	0.5948	0.0073	0.785	0.9889	0.5948	0.9927	0.7428	0.75	ZI	70
497	4	952	547	0.4761	0.0042	0.7245	0.992	0.4761	0.9958	0.6434	0.8	ZI	70
367	1	955	677	0.3515	0.001	0.661	0.9973	0.3515	0.999	0.5198	0.85	ZI	70
234	1	955	810	0.2241	0.001	0.5945	0.9957	0.2241	0.999	0.3659	0.9	ZI	70
68	0	956	976	0.0651	0	0.512	1	0.0651	1	0.1223	0.95	ZI	70
722	74	882	322	0.6916	0.0774	0.802	0.907	0.6916	0.9226	0.7848	0	ZI	80
722	74	882	322	0.6916	0.0774	0.802	0.907	0.6916	0.9226	0.7848	0.05	ZI	80
722	74	882	322	0.6916	0.0774	0.802	0.907	0.6916	0.9226	0.7848	0.1	ZI	80
722	74	882	322	0.6916	0.0774	0.802	0.907	0.6916	0.9226	0.7848	0.15	ZI	80
720	72	884	324	0.6897	0.0753	0.802	0.9091	0.6897	0.9247	0.7843	0.2	ZI	80
720	69	887	324	0.6897	0.0722	0.8035	0.9125	0.6897	0.9278	0.7856	0.25	ZI	80
716	65	891	328	0.6858	0.068	0.8035	0.9168	0.6858	0.932	0.7847	0.3	ZI	80
695	61	895	349	0.6657	0.0638	0.795	0.9193	0.6657	0.9362	0.7722	0.35	ZI	80
665	54	902	379	0.637	0.0565	0.7835	0.9249	0.637	0.9435	0.7544	0.4	ZI	80
626	44	912	418	0.5996	0.046	0.769	0.9343	0.5996	0.954	0.7305	0.45	ZI	80
563	28	928	481	0.5393	0.0293	0.7455	0.9526	0.5393	0.9707	0.6887	0.5	ZI	80
473	15	941	571	0.4531	0.0157	0.707	0.9693	0.4531	0.9843	0.6175	0.55	ZI	80
389	10	946	655	0.3726	0.0105	0.6675	0.9749	0.3726	0.9895	0.5392	0.6	ZI	80
295	6	950	749	0.2826	0.0063	0.6225	0.9801	0.2826	0.9937	0.4387	0.65	ZI	80
217	3	953	827	0.2079	0.0031	0.585	0.9864	0.2079	0.9969	0.3434	0.7	ZI	80
142	0	956	902	0.136	0	0.549	1	0.136	1	0.2395	0.75	ZI	80
74	0	956	970	0.0709	0	0.515	1	0.0709	1	0.1324	0.8	ZI	80
39	0	956	1005	0.0374	0	0.4975	1	0.0374	1	0.072	0.85	ZI	80
8	0	956	1036	0.0077	0	0.482	1	0.0077	1	0.0152	0.9	ZI	80
1	0	956	1043	0.001	0	0.4785	1	0.001	1	0.0019	0.95	ZI	80
299	57	899	745	0.2864	0.0596	0.599	0.8399	0.2864	0.9404	0.4271	0	ZI	90
299	57	899	745	0.2864	0.0596	0.599	0.8399	0.2864	0.9404	0.4271	0.05	ZI	90
299	57	899	745	0.2864	0.0596	0.599	0.8399	0.2864	0.9404	0.4271	0.1	ZI	90
299	57	899	745	0.2864	0.0596	0.599	0.8399	0.2864	0.9404	0.4271	0.15	ZI	90
298	57	899	746	0.2854	0.0596	0.5985	0.8394	0.2854	0.9404	0.426	0.2	ZI	90
291	57	899	753	0.2787	0.0596	0.595	0.8362	0.2787	0.9404	0.4181	0.25	ZI	90
283	55	901	761	0.2711	0.0575	0.592	0.8373	0.2711	0.9425	0.4096	0.3	ZI	90
273	53	903	771	0.2615	0.0554	0.588	0.8374	0.2615	0.9446	0.3985	0.35	ZI	90
257	49	907	787	0.2462	0.0513	0.582	0.8399	0.2462	0.9487	0.3807	0.4	ZI	90
225	45	911	819	0.2155	0.0471	0.568	0.8333	0.2155	0.9529	0.3425	0.45	ZI	90
186	41	915	858	0.1782	0.0429	0.5505	0.8194	0.1782	0.9571	0.2927	0.5	ZI	90
147	28	928	897	0.1408	0.0293	0.5375	0.84	0.1408	0.9707	0.2412	0.55	ZI	90
105	20	936	939	0.1006	0.0209	0.5205	0.84	0.1006	0.9791	0.1796	0.6	ZI	90
