TP	FP	TN	FN	TPR	FPR	Accuracy	Precision	Recall	Specificity	F1_Score	RSQ	parameter	parameter.value
960	50	906	84	0.9195	0.0523	0.933	0.9505	0.9195	0.9477	0.9348	0	SkewSplit	0.1
960	50	906	84	0.9195	0.0523	0.933	0.9505	0.9195	0.9477	0.9348	0.05	SkewSplit	0.1
960	50	906	84	0.9195	0.0523	0.933	0.9505	0.9195	0.9477	0.9348	0.1	SkewSplit	0.1
960	50	906	84	0.9195	0.0523	0.933	0.9505	0.9195	0.9477	0.9348	0.15	SkewSplit	0.1
960	50	906	84	0.9195	0.0523	0.933	0.9505	0.9195	0.9477	0.9348	0.2	SkewSplit	0.1
960	50	906	84	0.9195	0.0523	0.933	0.9505	0.9195	0.9477	0.9348	0.25	SkewSplit	0.1
958	48	908	86	0.9176	0.0502	0.933	0.9523	0.9176	0.9498	0.9346	0.3	SkewSplit	0.1
951	43	913	93	0.9109	0.045	0.932	0.9567	0.9109	0.955	0.9333	0.35	SkewSplit	0.1
940	37	919	104	0.9004	0.0387	0.9295	0.9621	0.9004	0.9613	0.9302	0.4	SkewSplit	0.1
926	31	925	118	0.887	0.0324	0.9255	0.9676	0.887	0.9676	0.9255	0.45	SkewSplit	0.1
905	25	931	139	0.8669	0.0262	0.918	0.9731	0.8669	0.9738	0.9169	0.5	SkewSplit	0.1
883	19	937	161	0.8458	0.0199	0.91	0.9789	0.8458	0.9801	0.9075	0.55	SkewSplit	0.1
853	12	944	191	0.817	0.0126	0.8985	0.9861	0.817	0.9874	0.8937	0.6	SkewSplit	0.1
809	9	947	235	0.7749	0.0094	0.878	0.989	0.7749	0.9906	0.869	0.65	SkewSplit	0.1
750	5	951	294	0.7184	0.0052	0.8505	0.9934	0.7184	0.9948	0.8338	0.7	SkewSplit	0.1
679	3	953	365	0.6504	0.0031	0.816	0.9956	0.6504	0.9969	0.7868	0.75	SkewSplit	0.1
562	2	954	482	0.5383	0.0021	0.758	0.9965	0.5383	0.9979	0.699	0.8	SkewSplit	0.1
415	1	955	629	0.3975	0.001	0.685	0.9976	0.3975	0.999	0.5685	0.85	SkewSplit	0.1
255	0	956	789	0.2443	0	0.6055	1	0.2443	1	0.3926	0.9	SkewSplit	0.1
92	0	956	952	0.0881	0	0.524	1	0.0881	1	0.162	0.95	SkewSplit	0.1
898	71	885	146	0.8602	0.0743	0.8915	0.9267	0.8602	0.9257	0.8922	0	SkewSplit	0.9
898	71	885	146	0.8602	0.0743	0.8915	0.9267	0.8602	0.9257	0.8922	0.05	SkewSplit	0.9
898	71	885	146	0.8602	0.0743	0.8915	0.9267	0.8602	0.9257	0.8922	0.1	SkewSplit	0.9
898	71	885	146	0.8602	0.0743	0.8915	0.9267	0.8602	0.9257	0.8922	0.15	SkewSplit	0.9
898	71	885	146	0.8602	0.0743	0.8915	0.9267	0.8602	0.9257	0.8922	0.2	SkewSplit	0.9
898	71	885	146	0.8602	0.0743	0.8915	0.9267	0.8602	0.9257	0.8922	0.25	SkewSplit	0.9
897	69	887	147	0.8592	0.0722	0.892	0.9286	0.8592	0.9278	0.8925	0.3	SkewSplit	0.9
892	67	889	152	0.8544	0.0701	0.8905	0.9301	0.8544	0.9299	0.8907	0.35	SkewSplit	0.9
888	59	897	156	0.8506	0.0617	0.8925	0.9377	0.8506	0.9383	0.892	0.4	SkewSplit	0.9
875	50	906	169	0.8381	0.0523	0.8905	0.9459	0.8381	0.9477	0.8888	0.45	SkewSplit	0.9
852	41	915	192	0.8161	0.0429	0.8835	0.9541	0.8161	0.9571	0.8797	0.5	SkewSplit	0.9
824	31	925	220	0.7893	0.0324	0.8745	0.9637	0.7893	0.9676	0.8678	0.55	SkewSplit	0.9
757	20	936	287	0.7251	0.0209	0.8465	0.9743	0.7251	0.9791	0.8314	0.6	SkewSplit	0.9
692	14	942	352	0.6628	0.0146	0.817	0.9802	0.6628	0.9854	0.7909	0.65	SkewSplit	0.9
618	5	951	426	0.592	0.0052	0.7845	0.992	0.592	0.9948	0.7415	0.7	SkewSplit	0.9
512	2	954	532	0.4904	0.0021	0.733	0.9961	0.4904	0.9979	0.6573	0.75	SkewSplit	0.9
409	0	956	635	0.3918	0	0.6825	1	0.3918	1	0.563	0.8	SkewSplit	0.9
271	0	956	773	0.2596	0	0.6135	1	0.2596	1	0.4122	0.85	SkewSplit	0.9
149	0	956	895	0.1427	0	0.5525	1	0.1427	1	0.2498	0.9	SkewSplit	0.9
23	0	956	1021	0.022	0	0.4895	1	0.022	1	0.0431	0.95	SkewSplit	0.9
948	46	910	96	0.908	0.0481	0.929	0.9537	0.908	0.9519	0.9303	0	SkewSplit	0
948	46	910	96	0.908	0.0481	0.929	0.9537	0.908	0.9519	0.9303	0.05	SkewSplit	0
948	46	910	96	0.908	0.0481	0.929	0.9537	0.908	0.9519	0.9303	0.1	SkewSplit	0
948	46	910	96	0.908	0.0481	0.929	0.9537	0.908	0.9519	0.9303	0.15	SkewSplit	0
948	46	910	96	0.908	0.0481	0.929	0.9537	0.908	0.9519	0.9303	0.2	SkewSplit	0
948	45	911	96	0.908	0.0471	0.9295	0.9547	0.908	0.9529	0.9308	0.25	SkewSplit	0
948	42	914	96	0.908	0.0439	0.931	0.9576	0.908	0.9561	0.9322	0.3	SkewSplit	0
944	38	918	100	0.9042	0.0397	0.931	0.9613	0.9042	0.9603	0.9319	0.35	SkewSplit	0
934	34	922	110	0.8946	0.0356	0.928	0.9649	0.8946	0.9644	0.9284	0.4	SkewSplit	0
927	29	927	117	0.8879	0.0303	0.927	0.9697	0.8879	0.9697	0.927	0.45	SkewSplit	0
912	25	931	132	0.8736	0.0262	0.9215	0.9733	0.8736	0.9738	0.9207	0.5	SkewSplit	0
884	18	938	160	0.8467	0.0188	0.911	0.98	0.8467	0.9812	0.9085	0.55	SkewSplit	0
838	14	942	206	0.8027	0.0146	0.89	0.9836	0.8027	0.9854	0.884	0.6	SkewSplit	0
782	7	949	262	0.749	0.0073	0.8655	0.9911	0.749	0.9927	0.8532	0.65	SkewSplit	0
715	2	954	329	0.6849	0.0021	0.8345	0.9972	0.6849	0.9979	0.812	0.7	SkewSplit	0
633	1	955	411	0.6063	0.001	0.794	0.9984	0.6063	0.999	0.7545	0.75	SkewSplit	0
520	0	956	524	0.4981	0	0.738	1	0.4981	1	0.665	0.8	SkewSplit	0
355	0	956	689	0.34	0	0.6555	1	0.34	1	0.5075	0.85	SkewSplit	0
203	0	956	841	0.1944	0	0.5795	1	0.1944	1	0.3256	0.9	SkewSplit	0
