TP	FP	TN	FN	TPR	FPR	Accuracy	Precision	Recall	Specificity	F1_Score	RSQ	parameter	parameter.value
943	50	906	101	0.9033	0.0523	0.9245	0.9496	0.9033	0.9477	0.9259	0	SkewSplit	0.1
943	50	906	101	0.9033	0.0523	0.9245	0.9496	0.9033	0.9477	0.9259	0.05	SkewSplit	0.1
943	50	906	101	0.9033	0.0523	0.9245	0.9496	0.9033	0.9477	0.9259	0.1	SkewSplit	0.1
943	50	906	101	0.9033	0.0523	0.9245	0.9496	0.9033	0.9477	0.9259	0.15	SkewSplit	0.1
943	50	906	101	0.9033	0.0523	0.9245	0.9496	0.9033	0.9477	0.9259	0.2	SkewSplit	0.1
943	50	906	101	0.9033	0.0523	0.9245	0.9496	0.9033	0.9477	0.9259	0.25	SkewSplit	0.1
942	47	909	102	0.9023	0.0492	0.9255	0.9525	0.9023	0.9508	0.9267	0.3	SkewSplit	0.1
936	42	914	108	0.8966	0.0439	0.925	0.9571	0.8966	0.9561	0.9258	0.35	SkewSplit	0.1
927	34	922	117	0.8879	0.0356	0.9245	0.9646	0.8879	0.9644	0.9247	0.4	SkewSplit	0.1
909	28	928	135	0.8707	0.0293	0.9185	0.9701	0.8707	0.9707	0.9177	0.45	SkewSplit	0.1
890	21	935	154	0.8525	0.022	0.9125	0.9769	0.8525	0.978	0.9105	0.5	SkewSplit	0.1
866	14	942	178	0.8295	0.0146	0.904	0.9841	0.8295	0.9854	0.9002	0.55	SkewSplit	0.1
833	8	948	211	0.7979	0.0084	0.8905	0.9905	0.7979	0.9916	0.8838	0.6	SkewSplit	0.1
783	5	951	261	0.75	0.0052	0.867	0.9937	0.75	0.9948	0.8548	0.65	SkewSplit	0.1
719	4	952	325	0.6887	0.0042	0.8355	0.9945	0.6887	0.9958	0.8138	0.7	SkewSplit	0.1
646	2	954	398	0.6188	0.0021	0.8	0.9969	0.6188	0.9979	0.7636	0.75	SkewSplit	0.1
