TP	FP	TN	FN	TPR	FPR	Accuracy	Precision	Recall	Specificity	F1_Score	RSQ	parameter	parameter.value
993	139	817	51	0.9511	0.1454	0.905	0.8772	0.9511	0.8546	0.9127	0	Skew	0.1
993	139	817	51	0.9511	0.1454	0.905	0.8772	0.9511	0.8546	0.9127	0.05	Skew	0.1
993	139	817	51	0.9511	0.1454	0.905	0.8772	0.9511	0.8546	0.9127	0.1	Skew	0.1
993	139	817	51	0.9511	0.1454	0.905	0.8772	0.9511	0.8546	0.9127	0.15	Skew	0.1
992	137	819	52	0.9502	0.1433	0.9055	0.8787	0.9502	0.8567	0.913	0.2	Skew	0.1
991	130	826	53	0.9492	0.136	0.9085	0.884	0.9492	0.864	0.9155	0.25	Skew	0.1
987	124	832	57	0.9454	0.1297	0.9095	0.8884	0.9454	0.8703	0.916	0.3	Skew	0.1
979	107	849	65	0.9377	0.1119	0.914	0.9015	0.9377	0.8881	0.9192	0.35	Skew	0.1
972	88	868	72	0.931	0.0921	0.92	0.917	0.931	0.9079	0.924	0.4	Skew	0.1
955	68	888	89	0.9148	0.0711	0.9215	0.9335	0.9148	0.9289	0.924	0.45	Skew	0.1
929	49	907	115	0.8898	0.0513	0.918	0.9499	0.8898	0.9487	0.9189	0.5	Skew	0.1
899	36	920	145	0.8611	0.0377	0.9095	0.9615	0.8611	0.9623	0.9085	0.55	Skew	0.1
867	21	935	177	0.8305	0.022	0.901	0.9764	0.8305	0.978	0.8975	0.6	Skew	0.1
816	12	944	228	0.7816	0.0126	0.88	0.9855	0.7816	0.9874	0.8718	0.65	Skew	0.1
769	6	950	275	0.7366	0.0063	0.8595	0.9923	0.7366	0.9937	0.8455	0.7	Skew	0.1
696	4	952	348	0.6667	0.0042	0.824	0.9943	0.6667	0.9958	0.7982	0.75	Skew	0.1
595	2	954	449	0.5699	0.0021	0.7745	0.9966	0.5699	0.9979	0.7252	0.8	Skew	0.1
492	1	955	552	0.4713	0.001	0.7235	0.998	0.4713	0.999	0.6402	0.85	Skew	0.1
333	1	955	711	0.319	0.001	0.644	0.997	0.319	0.999	0.4833	0.9	Skew	0.1
144	0	956	900	0.1379	0	0.55	1	0.1379	1	0.2424	0.95	Skew	0.1
979	149	807	65	0.9377	0.1559	0.893	0.8679	0.9377	0.8441	0.9015	0	Skew	0.9
979	149	807	65	0.9377	0.1559	0.893	0.8679	0.9377	0.8441	0.9015	0.05	Skew	0.9
979	149	807	65	0.9377	0.1559	0.893	0.8679	0.9377	0.8441	0.9015	0.1	Skew	0.9
979	149	807	65	0.9377	0.1559	0.893	0.8679	0.9377	0.8441	0.9015	0.15	Skew	0.9
979	146	810	65	0.9377	0.1527	0.8945	0.8702	0.9377	0.8473	0.9027	0.2	Skew	0.9
