TP	FP	TN	FN	TPR	FPR	Accuracy	Precision	Recall	Specificity	F1_Score	RSQ	parameter	parameter.value
536	195	761	508	0.5134	0.204	0.6485	0.7332	0.5134	0.796	0.6039	0	len	100.2900
536	195	761	508	0.5134	0.204	0.6485	0.7332	0.5134	0.796	0.6039	0.05	len	100.2900
536	195	761	508	0.5134	0.204	0.6485	0.7332	0.5134	0.796	0.6039	0.1	len	100.2900
536	195	761	508	0.5134	0.204	0.6485	0.7332	0.5134	0.796	0.6039	0.15	len	100.2900
535	194	762	509	0.5125	0.2029	0.6485	0.7339	0.5125	0.7971	0.6035	0.2	len	100.2900
530	189	767	514	0.5077	0.1977	0.6485	0.7371	0.5077	0.8023	0.6012	0.25	len	100.2900
521	187	769	523	0.499	0.1956	0.645	0.7359	0.499	0.8044	0.5947	0.3	len	100.2900
509	185	771	535	0.4875	0.1935	0.64	0.7334	0.4875	0.8065	0.5857	0.35	len	100.2900
476	178	778	568	0.4559	0.1862	0.627	0.7278	0.4559	0.8138	0.5607	0.4	len	100.2900
433	156	800	611	0.4148	0.1632	0.6165	0.7351	0.4148	0.8368	0.5303	0.45	len	100.2900
382	117	839	662	0.3659	0.1224	0.6105	0.7655	0.3659	0.8776	0.4951	0.5	len	100.2900
322	85	871	722	0.3084	0.0889	0.5965	0.7912	0.3084	0.9111	0.4438	0.55	len	100.2900
274	62	894	770	0.2625	0.0649	0.584	0.8155	0.2625	0.9351	0.3971	0.6	len	100.2900
219	40	916	825	0.2098	0.0418	0.5675	0.8456	0.2098	0.9582	0.3361	0.65	len	100.2900
156	23	933	888	0.1494	0.0241	0.5445	0.8715	0.1494	0.9759	0.2551	0.7	len	100.2900
94	12	944	950	0.09	0.0126	0.519	0.8868	0.09	0.9874	0.1635	0.75	len	100.2900
67	9	947	977	0.0642	0.0094	0.507	0.8816	0.0642	0.9906	0.1196	0.8	len	100.2900
36	3	953	1008	0.0345	0.0031	0.4945	0.9231	0.0345	0.9969	0.0665	0.85	len	100.2900
15	1	955	1029	0.0144	0.001	0.485	0.9375	0.0144	0.999	0.0283	0.9	len	100.2900
2	0	956	1042	0.0019	0	0.479	1	0.0019	1	0.0038	0.95	len	100.2900
984	162	794	60	0.9425	0.1695	0.889	0.8586	0.9425	0.8305	0.8986	0	len	1000.2000
984	162	794	60	0.9425	0.1695	0.889	0.8586	0.9425	0.8305	0.8986	0.05	len	1000.2000
984	162	794	60	0.9425	0.1695	0.889	0.8586	0.9425	0.8305	0.8986	0.1	len	1000.2000
984	162	794	60	0.9425	0.1695	0.889	0.8586	0.9425	0.8305	0.8986	0.15	len	1000.2000
