TP	FP	TN	FN	TPR	FPR	Accuracy	Precision	Recall	Specificity	F1_Score	RSQ	parameter	parameter.value
979	225	731	65	0.9377	0.2354	0.855	0.8131	0.9377	0.7646	0.871	0	Norm	FQ
979	225	731	65	0.9377	0.2354	0.855	0.8131	0.9377	0.7646	0.871	0.05	Norm	FQ
979	225	731	65	0.9377	0.2354	0.855	0.8131	0.9377	0.7646	0.871	0.1	Norm	FQ
979	225	731	65	0.9377	0.2354	0.855	0.8131	0.9377	0.7646	0.871	0.15	Norm	FQ
976	218	738	68	0.9349	0.228	0.857	0.8174	0.9349	0.772	0.8722	0.2	Norm	FQ
973	201	755	71	0.932	0.2103	0.864	0.8288	0.932	0.7897	0.8774	0.25	Norm	FQ
968	175	781	76	0.9272	0.1831	0.8745	0.8469	0.9272	0.8169	0.8852	0.3	Norm	FQ
961	147	809	83	0.9205	0.1538	0.885	0.8673	0.9205	0.8462	0.8931	0.35	Norm	FQ
952	116	840	92	0.9119	0.1213	0.896	0.8914	0.9119	0.8787	0.9015	0.4	Norm	FQ
930	73	883	114	0.8908	0.0764	0.9065	0.9272	0.8908	0.9236	0.9086	0.45	Norm	FQ
884	50	906	160	0.8467	0.0523	0.895	0.9465	0.8467	0.9477	0.8938	0.5	Norm	FQ
867	30	926	177	0.8305	0.0314	0.8965	0.9666	0.8305	0.9686	0.8934	0.55	Norm	FQ
819	19	937	225	0.7845	0.0199	0.878	0.9773	0.7845	0.9801	0.8704	0.6	Norm	FQ
770	13	943	274	0.7375	0.0136	0.8565	0.9834	0.7375	0.9864	0.8429	0.65	Norm	FQ
716	11	945	328	0.6858	0.0115	0.8305	0.9849	0.6858	0.9885	0.8086	0.7	Norm	FQ
632	6	950	412	0.6054	0.0063	0.791	0.9906	0.6054	0.9937	0.7515	0.75	Norm	FQ
540	2	954	504	0.5172	0.0021	0.747	0.9963	0.5172	0.9979	0.681	0.8	Norm	FQ
416	0	956	628	0.3985	0	0.686	1	0.3985	1	0.5699	0.85	Norm	FQ
252	0	956	792	0.2414	0	0.604	1	0.2414	1	0.3889	0.9	Norm	FQ
82	0	956	962	0.0785	0	0.519	1	0.0785	1	0.1456	0.95	Norm	FQ
978	246	710	66	0.9368	0.2573	0.844	0.799	0.9368	0.7427	0.8624	0	Norm	libSize
978	246	710	66	0.9368	0.2573	0.844	0.799	0.9368	0.7427	0.8624	0.05	Norm	libSize
978	246	710	66	0.9368	0.2573	0.844	0.799	0.9368	0.7427	0.8624	0.1	Norm	libSize
978	246	710	66	0.9368	0.2573	0.844	0.799	0.9368	0.7427	0.8624	0.15	Norm	libSize
978	246	710	66	0.9368	0.2573	0.844	0.799	0.9368	0.7427	0.8624	0.2	Norm	libSize
978	241	715	66	0.9368	0.2521	0.8465	0.8023	0.9368	0.7479	0.8643	0.25	Norm	libSize
976	234	722	68	0.9349	0.2448	0.849	0.8066	0.9349	0.7552	0.866	0.3	Norm	libSize
970	219	737	74	0.9291	0.2291	0.8535	0.8158	0.9291	0.7709	0.8688	0.35	Norm	libSize
963	195	761	81	0.9224	0.204	0.862	0.8316	0.9224	0.796	0.8747	0.4	Norm	libSize
947	161	795	97	0.9071	0.1684	0.871	0.8547	0.9071	0.8316	0.8801	0.45	Norm	libSize
925	111	845	119	0.886	0.1161	0.885	0.8929	0.886	0.8839	0.8894	0.5	Norm	libSize
897	69	887	147	0.8592	0.0722	0.892	0.9286	0.8592	0.9278	0.8925	0.55	Norm	libSize
861	38	918	183	0.8247	0.0397	0.8895	0.9577	0.8247	0.9603	0.8863	0.6	Norm	libSize
792	18	938	252	0.7586	0.0188	0.865	0.9778	0.7586	0.9812	0.8544	0.65	Norm	libSize
726	10	946	318	0.6954	0.0105	0.836	0.9864	0.6954	0.9895	0.8157	0.7	Norm	libSize
641	7	949	403	0.614	0.0073	0.795	0.9892	0.614	0.9927	0.7577	0.75	Norm	libSize
525	2	954	519	0.5029	0.0021	0.7395	0.9962	0.5029	0.9979	0.6684	0.8	Norm	libSize
424	1	955	620	0.4061	0.001	0.6895	0.9976	0.4061	0.999	0.5773	0.85	Norm	libSize
257	0	956	787	0.2462	0	0.6065	1	0.2462	1	0.3951	0.9	Norm	libSize
94	0	956	950	0.09	0	0.525	1	0.09	1	0.1652	0.95	Norm	libSize
977	173	783	67	0.9358	0.181	0.88	0.8496	0.9358	0.819	0.8906	0	Norm	logLibSize
977	173	783	67	0.9358	0.181	0.88	0.8496	0.9358	0.819	0.8906	0.05	Norm	logLibSize
977	173	783	67	0.9358	0.181	0.88	0.8496	0.9358	0.819	0.8906	0.1	Norm	logLibSize
977	173	783	67	0.9358	0.181	0.88	0.8496	0.9358	0.819	0.8906	0.15	Norm	logLibSize
977	173	783	67	0.9358	0.181	0.88	0.8496	0.9358	0.819	0.8906	0.2	Norm	logLibSize
976	172	784	68	0.9349	0.1799	0.88	0.8502	0.9349	0.8201	0.8905	0.25	Norm	logLibSize
972	168	788	72	0.931	0.1757	0.88	0.8526	0.931	0.8243	0.8901	0.3	Norm	logLibSize
970	162	794	74	0.9291	0.1695	0.882	0.8569	0.9291	0.8305	0.8915	0.35	Norm	logLibSize
961	149	807	83	0.9205	0.1559	0.884	0.8658	0.9205	0.8441	0.8923	0.4	Norm	logLibSize
951	110	846	93	0.9109	0.1151	0.8985	0.8963	0.9109	0.8849	0.9036	0.45	Norm	logLibSize
920	65	891	124	0.8812	0.068	0.9055	0.934	0.8812	0.932	0.9069	0.5	Norm	logLibSize
887	39	917	157	0.8496	0.0408	0.902	0.9579	0.8496	0.9592	0.9005	0.55	Norm	logLibSize
846	16	940	198	0.8103	0.0167	0.893	0.9814	0.8103	0.9833	0.8877	0.6	Norm	logLibSize
781	5	951	263	0.7481	0.0052	0.866	0.9936	0.7481	0.9948	0.8536	0.65	Norm	logLibSize
694	4	952	350	0.6648	0.0042	0.823	0.9943	0.6648	0.9958	0.7968	0.7	Norm	logLibSize
589	2	954	455	0.5642	0.0021	0.7715	0.9966	0.5642	0.9979	0.7205	0.75	Norm	logLibSize
458	1	955	586	0.4387	0.001	0.7065	0.9978	0.4387	0.999	0.6094	0.8	Norm	logLibSize
324	1	955	720	0.3103	0.001	0.6395	0.9969	0.3103	0.999	0.4733	0.85	Norm	logLibSize
165	0	956	879	0.158	0	0.5605	1	0.158	1	0.273	0.9	Norm	logLibSize
44	0	956	1000	0.0421	0	0.5	1	0.0421	1	0.0809	0.95	Norm	logLibSize
997	94	862	47	0.955	0.0983	0.9295	0.9138	0.955	0.9017	0.934	0	Norm	rawCounts_Offset
997	94	862	47	0.955	0.0983	0.9295	0.9138	0.955	0.9017	0.934	0.05	Norm	rawCounts_Offset
997	94	862	47	0.955	0.0983	0.9295	0.9138	0.955	0.9017	0.934	0.1	Norm	rawCounts_Offset
997	94	862	47	0.955	0.0983	0.9295	0.9138	0.955	0.9017	0.934	0.15	Norm	rawCounts_Offset
997	93	863	47	0.955	0.0973	0.93	0.9147	0.955	0.9027	0.9344	0.2	Norm	rawCounts_Offset
997	87	869	47	0.955	0.091	0.933	0.9197	0.955	0.909	0.937	0.25	Norm	rawCounts_Offset
992	82	874	52	0.9502	0.0858	0.933	0.9236	0.9502	0.9142	0.9367	0.3	Norm	rawCounts_Offset
982	73	883	62	0.9406	0.0764	0.9325	0.9308	0.9406	0.9236	0.9357	0.35	Norm	rawCounts_Offset
969	59	897	75	0.9282	0.0617	0.933	0.9426	0.9282	0.9383	0.9353	0.4	Norm	rawCounts_Offset
955	45	911	89	0.9148	0.0471	0.933	0.955	0.9148	0.9529	0.9344	0.45	Norm	rawCounts_Offset
938	28	928	106	0.8985	0.0293	0.933	0.971	0.8985	0.9707	0.9333	0.5	Norm	rawCounts_Offset
913	19	937	131	0.8745	0.0199	0.925	0.9796	0.8745	0.9801	0.9241	0.55	Norm	rawCounts_Offset
878	13	943	166	0.841	0.0136	0.9105	0.9854	0.841	0.9864	0.9075	0.6	Norm	rawCounts_Offset
836	11	945	208	0.8008	0.0115	0.8905	0.987	0.8008	0.9885	0.8842	0.65	Norm	rawCounts_Offset
793	10	946	251	0.7596	0.0105	0.8695	0.9875	0.7596	0.9895	0.8587	0.7	Norm	rawCounts_Offset
734	8	948	310	0.7031	0.0084	0.841	0.9892	0.7031	0.9916	0.8219	0.75	Norm	rawCounts_Offset
641	7	949	403	0.614	0.0073	0.795	0.9892	0.614	0.9927	0.7577	0.8	Norm	rawCounts_Offset
521	2	954	523	0.499	0.0021	0.7375	0.9962	0.499	0.9979	0.665	0.85	Norm	rawCounts_Offset
380	0	956	664	0.364	0	0.668	1	0.364	1	0.5337	0.9	Norm	rawCounts_Offset
180	0	956	864	0.1724	0	0.568	1	0.1724	1	0.2941	0.95	Norm	rawCounts_Offset
1008	329	627	36	0.9655	0.3441	0.8175	0.7539	0.9655	0.6559	0.8467	0	Norm	rawCounts
1008	329	627	36	0.9655	0.3441	0.8175	0.7539	0.9655	0.6559	0.8467	0.05	Norm	rawCounts
1008	329	627	36	0.9655	0.3441	0.8175	0.7539	0.9655	0.6559	0.8467	0.1	Norm	rawCounts
1008	329	627	36	0.9655	0.3441	0.8175	0.7539	0.9655	0.6559	0.8467	0.15	Norm	rawCounts
1007	324	632	37	0.9646	0.3389	0.8195	0.7566	0.9646	0.6611	0.848	0.2	Norm	rawCounts
1003	316	640	41	0.9607	0.3305	0.8215	0.7604	0.9607	0.6695	0.8489	0.25	Norm	rawCounts
998	275	681	46	0.9559	0.2877	0.8395	0.784	0.9559	0.7123	0.8615	0.3	Norm	rawCounts
985	236	720	59	0.9435	0.2469	0.8525	0.8067	0.9435	0.7531	0.8698	0.35	Norm	rawCounts
968	172	784	76	0.9272	0.1799	0.876	0.8491	0.9272	0.8201	0.8864	0.4	Norm	rawCounts
952	119	837	92	0.9119	0.1245	0.8945	0.8889	0.9119	0.8755	0.9002	0.45	Norm	rawCounts
924	76	880	120	0.8851	0.0795	0.902	0.924	0.8851	0.9205	0.9041	0.5	Norm	rawCounts
903	37	919	141	0.8649	0.0387	0.911	0.9606	0.8649	0.9613	0.9103	0.55	Norm	rawCounts
869	20	936	175	0.8324	0.0209	0.9025	0.9775	0.8324	0.9791	0.8991	0.6	Norm	rawCounts
815	14	942	229	0.7807	0.0146	0.8785	0.9831	0.7807	0.9854	0.8703	0.65	Norm	rawCounts
758	11	945	286	0.7261	0.0115	0.8515	0.9857	0.7261	0.9885	0.8362	0.7	Norm	rawCounts
675	4	952	369	0.6466	0.0042	0.8135	0.9941	0.6466	0.9958	0.7835	0.75	Norm	rawCounts
537	2	954	507	0.5144	0.0021	0.7455	0.9963	0.5144	0.9979	0.6785	0.8	Norm	rawCounts
400	0	956	644	0.3831	0	0.678	1	0.3831	1	0.554	0.85	Norm	rawCounts
223	0	956	821	0.2136	0	0.5895	1	0.2136	1	0.352	0.9	Norm	rawCounts
64	0	956	980	0.0613	0	0.51	1	0.0613	1	0.1155	0.95	Norm	rawCounts
980	180	776	64	0.9387	0.1883	0.878	0.8448	0.9387	0.8117	0.8893	0	Norm	SCT
980	180	776	64	0.9387	0.1883	0.878	0.8448	0.9387	0.8117	0.8893	0.05	Norm	SCT
980	180	776	64	0.9387	0.1883	0.878	0.8448	0.9387	0.8117	0.8893	0.1	Norm	SCT
980	180	776	64	0.9387	0.1883	0.878	0.8448	0.9387	0.8117	0.8893	0.15	Norm	SCT
980	180	776	64	0.9387	0.1883	0.878	0.8448	0.9387	0.8117	0.8893	0.2	Norm	SCT
980	179	777	64	0.9387	0.1872	0.8785	0.8456	0.9387	0.8128	0.8897	0.25	Norm	SCT
977	177	779	67	0.9358	0.1851	0.878	0.8466	0.9358	0.8149	0.889	0.3	Norm	SCT
975	174	782	69	0.9339	0.182	0.8785	0.8486	0.9339	0.818	0.8892	0.35	Norm	SCT
967	156	800	77	0.9262	0.1632	0.8835	0.8611	0.9262	0.8368	0.8925	0.4	Norm	SCT
953	114	842	91	0.9128	0.1192	0.8975	0.8932	0.9128	0.8808	0.9029	0.45	Norm	SCT
926	71	885	118	0.887	0.0743	0.9055	0.9288	0.887	0.9257	0.9074	0.5	Norm	SCT
896	40	916	148	0.8582	0.0418	0.906	0.9573	0.8582	0.9582	0.9051	0.55	Norm	SCT
854	23	933	190	0.818	0.0241	0.8935	0.9738	0.818	0.9759	0.8891	0.6	Norm	SCT
788	7	949	256	0.7548	0.0073	0.8685	0.9912	0.7548	0.9927	0.857	0.65	Norm	SCT
701	4	952	343	0.6715	0.0042	0.8265	0.9943	0.6715	0.9958	0.8016	0.7	Norm	SCT
600	3	953	444	0.5747	0.0031	0.7765	0.995	0.5747	0.9969	0.7286	0.75	Norm	SCT
472	1	955	572	0.4521	0.001	0.7135	0.9979	0.4521	0.999	0.6223	0.8	Norm	SCT
336	1	955	708	0.3218	0.001	0.6455	0.997	0.3218	0.999	0.4866	0.85	Norm	SCT
181	0	956	863	0.1734	0	0.5685	1	0.1734	1	0.2955	0.9	Norm	SCT
53	0	956	991	0.0508	0	0.5045	1	0.0508	1	0.0966	0.95	Norm	SCT
