TP	FP	TN	FN	TPR	FPR	Accuracy	Precision	Recall	Specificity	F1_Score	RSQ	parameter	parameter.value
2151	11	2424	414	0.8386	0.0045	0.915	0.9949	0.8386	0.9955	0.9101	0	Norm	clr
2151	11	2424	414	0.8386	0.0045	0.915	0.9949	0.8386	0.9955	0.9101	0.05	Norm	clr
2151	11	2424	414	0.8386	0.0045	0.915	0.9949	0.8386	0.9955	0.9101	0.1	Norm	clr
2151	11	2424	414	0.8386	0.0045	0.915	0.9949	0.8386	0.9955	0.9101	0.15	Norm	clr
2150	11	2424	415	0.8382	0.0045	0.9148	0.9949	0.8382	0.9955	0.9099	0.2	Norm	clr
2150	10	2425	415	0.8382	0.0041	0.915	0.9954	0.8382	0.9959	0.9101	0.25	Norm	clr
2150	9	2426	415	0.8382	0.0037	0.9152	0.9958	0.8382	0.9963	0.9102	0.3	Norm	clr
2147	8	2427	418	0.837	0.0033	0.9148	0.9963	0.837	0.9967	0.9097	0.35	Norm	clr
2139	7	2428	426	0.8339	0.0029	0.9134	0.9967	0.8339	0.9971	0.9081	0.4	Norm	clr
2113	6	2429	452	0.8238	0.0025	0.9084	0.9972	0.8238	0.9975	0.9022	0.45	Norm	clr
2028	4	2431	537	0.7906	0.0016	0.8918	0.998	0.7906	0.9984	0.8823	0.5	Norm	clr
1876	0	2435	689	0.7314	0	0.8622	1	0.7314	1	0.8449	0.55	Norm	clr
1664	0	2435	901	0.6487	0	0.8198	1	0.6487	1	0.7869	0.6	Norm	clr
1421	0	2435	1144	0.554	0	0.7712	1	0.554	1	0.713	0.65	Norm	clr
1155	0	2435	1410	0.4503	0	0.718	1	0.4503	1	0.621	0.7	Norm	clr
857	0	2435	1708	0.3341	0	0.6584	1	0.3341	1	0.5009	0.75	Norm	clr
580	0	2435	1985	0.2261	0	0.603	1	0.2261	1	0.3688	0.8	Norm	clr
319	0	2435	2246	0.1244	0	0.5508	1	0.1244	1	0.2212	0.85	Norm	clr
117	0	2435	2448	0.0456	0	0.5104	1	0.0456	1	0.0872	0.9	Norm	clr
13	0	2435	2552	0.0051	0	0.4896	1	0.0051	1	0.0101	0.95	Norm	clr
2477	79	2356	88	0.9657	0.0324	0.9666	0.9691	0.9657	0.9676	0.9674	0	Norm	cpm
2477	79	2356	88	0.9657	0.0324	0.9666	0.9691	0.9657	0.9676	0.9674	0.05	Norm	cpm
2477	79	2356	88	0.9657	0.0324	0.9666	0.9691	0.9657	0.9676	0.9674	0.1	Norm	cpm
2477	79	2356	88	0.9657	0.0324	0.9666	0.9691	0.9657	0.9676	0.9674	0.15	Norm	cpm
2477	77	2358	88	0.9657	0.0316	0.967	0.9699	0.9657	0.9684	0.9678	0.2	Norm	cpm
2476	75	2360	89	0.9653	0.0308	0.9672	0.9706	0.9653	0.9692	0.9679	0.25	Norm	cpm
2476	66	2369	89	0.9653	0.0271	0.969	0.974	0.9653	0.9729	0.9696	0.3	Norm	cpm
2470	54	2381	95	0.963	0.0222	0.9702	0.9786	0.963	0.9778	0.9707	0.35	Norm	cpm
2454	37	2398	111	0.9567	0.0152	0.9704	0.9851	0.9567	0.9848	0.9707	0.4	Norm	cpm
2417	21	2414	148	0.9423	0.0086	0.9662	0.9914	0.9423	0.9914	0.9662	0.45	Norm	cpm
2385	8	2427	180	0.9298	0.0033	0.9624	0.9967	0.9298	0.9967	0.9621	0.5	Norm	cpm
2341	2	2433	224	0.9127	8e-04	0.9548	0.9991	0.9127	0.9992	0.954	0.55	Norm	cpm
2277	0	2435	288	0.8877	0	0.9424	1	0.8877	1	0.9405	0.6	Norm	cpm
2193	0	2435	372	0.855	0	0.9256	1	0.855	1	0.9218	0.65	Norm	cpm
2066	0	2435	499	0.8055	0	0.9002	1	0.8055	1	0.8922	0.7	Norm	cpm
1881	0	2435	684	0.7333	0	0.8632	1	0.7333	1	0.8462	0.75	Norm	cpm
1580	0	2435	985	0.616	0	0.803	1	0.616	1	0.7624	0.8	Norm	cpm
1185	0	2435	1380	0.462	0	0.724	1	0.462	1	0.632	0.85	Norm	cpm
707	0	2435	1858	0.2756	0	0.6284	1	0.2756	1	0.4322	0.9	Norm	cpm
226	0	2435	2339	0.0881	0	0.5322	1	0.0881	1	0.1619	0.95	Norm	cpm
2482	265	2170	83	0.9676	0.1088	0.9304	0.9035	0.9676	0.8912	0.9345	0	Norm	fquant
2482	265	2170	83	0.9676	0.1088	0.9304	0.9035	0.9676	0.8912	0.9345	0.05	Norm	fquant
2482	265	2170	83	0.9676	0.1088	0.9304	0.9035	0.9676	0.8912	0.9345	0.1	Norm	fquant
2482	265	2170	83	0.9676	0.1088	0.9304	0.9035	0.9676	0.8912	0.9345	0.15	Norm	fquant
2481	260	2175	84	0.9673	0.1068	0.9312	0.9051	0.9673	0.8932	0.9352	0.2	Norm	fquant
2480	249	2186	85	0.9669	0.1023	0.9332	0.9088	0.9669	0.8977	0.9369	0.25	Norm	fquant
2477	216	2219	88	0.9657	0.0887	0.9392	0.9198	0.9657	0.9113	0.9422	0.3	Norm	fquant
2468	186	2249	97	0.9622	0.0764	0.9434	0.9299	0.9622	0.9236	0.9458	0.35	Norm	fquant
2443	127	2308	122	0.9524	0.0522	0.9502	0.9506	0.9524	0.9478	0.9515	0.4	Norm	fquant
2409	75	2360	156	0.9392	0.0308	0.9538	0.9698	0.9392	0.9692	0.9542	0.45	Norm	fquant
2360	45	2390	205	0.9201	0.0185	0.95	0.9813	0.9201	0.9815	0.9497	0.5	Norm	fquant
2312	23	2412	253	0.9014	0.0094	0.9448	0.9901	0.9014	0.9906	0.9437	0.55	Norm	fquant
2251	13	2422	314	0.8776	0.0053	0.9346	0.9943	0.8776	0.9947	0.9323	0.6	Norm	fquant
2124	6	2429	441	0.8281	0.0025	0.9106	0.9972	0.8281	0.9975	0.9048	0.65	Norm	fquant
1982	2	2433	583	0.7727	8e-04	0.883	0.999	0.7727	0.9992	0.8714	0.7	Norm	fquant
1788	2	2433	777	0.6971	8e-04	0.8442	0.9989	0.6971	0.9992	0.8211	0.75	Norm	fquant
1495	1	2434	1070	0.5828	4e-04	0.7858	0.9993	0.5828	0.9996	0.7363	0.8	Norm	fquant
1116	1	2434	1449	0.4351	4e-04	0.71	0.9991	0.4351	0.9996	0.6062	0.85	Norm	fquant
698	0	2435	1867	0.2721	0	0.6266	1	0.2721	1	0.4278	0.9	Norm	fquant
224	0	2435	2341	0.0873	0	0.5318	1	0.0873	1	0.1606	0.95	Norm	fquant
2258	17	2418	307	0.8803	0.007	0.9352	0.9925	0.8803	0.993	0.9331	0	Norm	logN
2258	17	2418	307	0.8803	0.007	0.9352	0.9925	0.8803	0.993	0.9331	0.05	Norm	logN
2258	17	2418	307	0.8803	0.007	0.9352	0.9925	0.8803	0.993	0.9331	0.1	Norm	logN
2258	17	2418	307	0.8803	0.007	0.9352	0.9925	0.8803	0.993	0.9331	0.15	Norm	logN
2258	17	2418	307	0.8803	0.007	0.9352	0.9925	0.8803	0.993	0.9331	0.2	Norm	logN
2258	17	2418	307	0.8803	0.007	0.9352	0.9925	0.8803	0.993	0.9331	0.25	Norm	logN
2257	15	2420	308	0.8799	0.0062	0.9354	0.9934	0.8799	0.9938	0.9332	0.3	Norm	logN
2257	14	2421	308	0.8799	0.0057	0.9356	0.9938	0.8799	0.9943	0.9334	0.35	Norm	logN
2253	12	2423	312	0.8784	0.0049	0.9352	0.9947	0.8784	0.9951	0.9329	0.4	Norm	logN
2233	8	2427	332	0.8706	0.0033	0.932	0.9964	0.8706	0.9967	0.9293	0.45	Norm	logN
2164	5	2430	401	0.8437	0.0021	0.9188	0.9977	0.8437	0.9979	0.9142	0.5	Norm	logN
2071	0	2435	494	0.8074	0	0.9012	1	0.8074	1	0.8934	0.55	Norm	logN
1969	0	2435	596	0.7676	0	0.8808	1	0.7676	1	0.8685	0.6	Norm	logN
1797	0	2435	768	0.7006	0	0.8464	1	0.7006	1	0.8239	0.65	Norm	logN
1548	0	2435	1017	0.6035	0	0.7966	1	0.6035	1	0.7527	0.7	Norm	logN
1257	0	2435	1308	0.4901	0	0.7384	1	0.4901	1	0.6578	0.75	Norm	logN
916	0	2435	1649	0.3571	0	0.6702	1	0.3571	1	0.5263	0.8	Norm	logN
563	0	2435	2002	0.2195	0	0.5996	1	0.2195	1	0.36	0.85	Norm	logN
268	0	2435	2297	0.1045	0	0.5406	1	0.1045	1	0.1892	0.9	Norm	logN
42	0	2435	2523	0.0164	0	0.4954	1	0.0164	1	0.0322	0.95	Norm	logN
2497	140	2295	68	0.9735	0.0575	0.9584	0.9469	0.9735	0.9425	0.96	0	Norm	offset
2497	140	2295	68	0.9735	0.0575	0.9584	0.9469	0.9735	0.9425	0.96	0.05	Norm	offset
2497	140	2295	68	0.9735	0.0575	0.9584	0.9469	0.9735	0.9425	0.96	0.1	Norm	offset
2497	140	2295	68	0.9735	0.0575	0.9584	0.9469	0.9735	0.9425	0.96	0.15	Norm	offset
2497	139	2296	68	0.9735	0.0571	0.9586	0.9473	0.9735	0.9429	0.9602	0.2	Norm	offset
2496	135	2300	69	0.9731	0.0554	0.9592	0.9487	0.9731	0.9446	0.9607	0.25	Norm	offset
2494	122	2313	71	0.9723	0.0501	0.9614	0.9534	0.9723	0.9499	0.9627	0.3	Norm	offset
2492	101	2334	73	0.9715	0.0415	0.9652	0.961	0.9715	0.9585	0.9663	0.35	Norm	offset
2477	76	2359	88	0.9657	0.0312	0.9672	0.9702	0.9657	0.9688	0.968	0.4	Norm	offset
2459	47	2388	106	0.9587	0.0193	0.9694	0.9812	0.9587	0.9807	0.9698	0.45	Norm	offset
2437	22	2413	128	0.9501	0.009	0.97	0.9911	0.9501	0.991	0.9701	0.5	Norm	offset
2398	13	2422	167	0.9349	0.0053	0.964	0.9946	0.9349	0.9947	0.9638	0.55	Norm	offset
2357	5	2430	208	0.9189	0.0021	0.9574	0.9979	0.9189	0.9979	0.9568	0.6	Norm	offset
2297	2	2433	268	0.8955	8e-04	0.946	0.9991	0.8955	0.9992	0.9445	0.65	Norm	offset
2224	1	2434	341	0.8671	4e-04	0.9316	0.9996	0.8671	0.9996	0.9286	0.7	Norm	offset
2088	0	2435	477	0.814	0	0.9046	1	0.814	1	0.8975	0.75	Norm	offset
1905	0	2435	660	0.7427	0	0.868	1	0.7427	1	0.8523	0.8	Norm	offset
1558	0	2435	1007	0.6074	0	0.7986	1	0.6074	1	0.7558	0.85	Norm	offset
1110	0	2435	1455	0.4327	0	0.709	1	0.4327	1	0.6041	0.9	Norm	offset
485	0	2435	2080	0.1891	0	0.584	1	0.1891	1	0.318	0.95	Norm	offset
2471	73	2362	94	0.9634	0.03	0.9666	0.9713	0.9634	0.97	0.9673	0	Norm	raw
2471	73	2362	94	0.9634	0.03	0.9666	0.9713	0.9634	0.97	0.9673	0.05	Norm	raw
2471	73	2362	94	0.9634	0.03	0.9666	0.9713	0.9634	0.97	0.9673	0.1	Norm	raw
2471	73	2362	94	0.9634	0.03	0.9666	0.9713	0.9634	0.97	0.9673	0.15	Norm	raw
2471	70	2365	94	0.9634	0.0287	0.9672	0.9725	0.9634	0.9713	0.9679	0.2	Norm	raw
2470	67	2368	95	0.963	0.0275	0.9676	0.9736	0.963	0.9725	0.9682	0.25	Norm	raw
2468	58	2377	97	0.9622	0.0238	0.969	0.977	0.9622	0.9762	0.9696	0.3	Norm	raw
2460	49	2386	105	0.9591	0.0201	0.9692	0.9805	0.9591	0.9799	0.9696	0.35	Norm	raw
2438	31	2404	127	0.9505	0.0127	0.9684	0.9874	0.9505	0.9873	0.9686	0.4	Norm	raw
2403	15	2420	162	0.9368	0.0062	0.9646	0.9938	0.9368	0.9938	0.9645	0.45	Norm	raw
2371	7	2428	194	0.9244	0.0029	0.9598	0.9971	0.9244	0.9971	0.9593	0.5	Norm	raw
2313	5	2430	252	0.9018	0.0021	0.9486	0.9978	0.9018	0.9979	0.9474	0.55	Norm	raw
2242	3	2432	323	0.8741	0.0012	0.9348	0.9987	0.8741	0.9988	0.9322	0.6	Norm	raw
2154	0	2435	411	0.8398	0	0.9178	1	0.8398	1	0.9129	0.65	Norm	raw
2012	0	2435	553	0.7844	0	0.8894	1	0.7844	1	0.8792	0.7	Norm	raw
1796	0	2435	769	0.7002	0	0.8462	1	0.7002	1	0.8237	0.75	Norm	raw
1478	0	2435	1087	0.5762	0	0.7826	1	0.5762	1	0.7311	0.8	Norm	raw
1097	0	2435	1468	0.4277	0	0.7064	1	0.4277	1	0.5991	0.85	Norm	raw
628	0	2435	1937	0.2448	0	0.6126	1	0.2448	1	0.3934	0.9	Norm	raw
196	0	2435	2369	0.0764	0	0.5262	1	0.0764	1	0.142	0.95	Norm	raw
2429	30	2405	136	0.947	0.0123	0.9668	0.9878	0.947	0.9877	0.967	0	Norm	rc
2429	30	2405	136	0.947	0.0123	0.9668	0.9878	0.947	0.9877	0.967	0.05	Norm	rc
2429	30	2405	136	0.947	0.0123	0.9668	0.9878	0.947	0.9877	0.967	0.1	Norm	rc
2429	30	2405	136	0.947	0.0123	0.9668	0.9878	0.947	0.9877	0.967	0.15	Norm	rc
2429	30	2405	136	0.947	0.0123	0.9668	0.9878	0.947	0.9877	0.967	0.2	Norm	rc
2429	30	2405	136	0.947	0.0123	0.9668	0.9878	0.947	0.9877	0.967	0.25	Norm	rc
2428	30	2405	137	0.9466	0.0123	0.9666	0.9878	0.9466	0.9877	0.9668	0.3	Norm	rc
2428	27	2408	137	0.9466	0.0111	0.9672	0.989	0.9466	0.9889	0.9673	0.35	Norm	rc
2424	21	2414	141	0.945	0.0086	0.9676	0.9914	0.945	0.9914	0.9677	0.4	Norm	rc
2405	17	2418	160	0.9376	0.007	0.9646	0.993	0.9376	0.993	0.9645	0.45	Norm	rc
2374	10	2425	191	0.9255	0.0041	0.9598	0.9958	0.9255	0.9959	0.9594	0.5	Norm	rc
2323	4	2431	242	0.9057	0.0016	0.9508	0.9983	0.9057	0.9984	0.9497	0.55	Norm	rc
2248	2	2433	317	0.8764	8e-04	0.9362	0.9991	0.8764	0.9992	0.9337	0.6	Norm	rc
2142	0	2435	423	0.8351	0	0.9154	1	0.8351	1	0.9101	0.65	Norm	rc
1974	0	2435	591	0.7696	0	0.8818	1	0.7696	1	0.8698	0.7	Norm	rc
1747	0	2435	818	0.6811	0	0.8364	1	0.6811	1	0.8103	0.75	Norm	rc
1421	0	2435	1144	0.554	0	0.7712	1	0.554	1	0.713	0.8	Norm	rc
1062	0	2435	1503	0.414	0	0.6994	1	0.414	1	0.5856	0.85	Norm	rc
644	0	2435	1921	0.2511	0	0.6158	1	0.2511	1	0.4014	0.9	Norm	rc
185	0	2435	2380	0.0721	0	0.524	1	0.0721	1	0.1345	0.95	Norm	rc
1928	9	2426	637	0.7517	0.0037	0.8708	0.9954	0.7517	0.9963	0.8565	0	Norm	sct
1928	9	2426	637	0.7517	0.0037	0.8708	0.9954	0.7517	0.9963	0.8565	0.05	Norm	sct
1928	9	2426	637	0.7517	0.0037	0.8708	0.9954	0.7517	0.9963	0.8565	0.1	Norm	sct
1928	9	2426	637	0.7517	0.0037	0.8708	0.9954	0.7517	0.9963	0.8565	0.15	Norm	sct
1928	9	2426	637	0.7517	0.0037	0.8708	0.9954	0.7517	0.9963	0.8565	0.2	Norm	sct
1928	8	2427	637	0.7517	0.0033	0.871	0.9959	0.7517	0.9967	0.8567	0.25	Norm	sct
1927	7	2428	638	0.7513	0.0029	0.871	0.9964	0.7513	0.9971	0.8566	0.3	Norm	sct
1920	7	2428	645	0.7485	0.0029	0.8696	0.9964	0.7485	0.9971	0.8549	0.35	Norm	sct
1909	7	2428	656	0.7442	0.0029	0.8674	0.9963	0.7442	0.9971	0.852	0.4	Norm	sct
1867	6	2429	698	0.7279	0.0025	0.8592	0.9968	0.7279	0.9975	0.8414	0.45	Norm	sct
1750	3	2432	815	0.6823	0.0012	0.8364	0.9983	0.6823	0.9988	0.8106	0.5	Norm	sct
1544	0	2435	1021	0.6019	0	0.7958	1	0.6019	1	0.7515	0.55	Norm	sct
1301	0	2435	1264	0.5072	0	0.7472	1	0.5072	1	0.673	0.6	Norm	sct
1054	0	2435	1511	0.4109	0	0.6978	1	0.4109	1	0.5825	0.65	Norm	sct
814	0	2435	1751	0.3173	0	0.6498	1	0.3173	1	0.4818	0.7	Norm	sct
554	0	2435	2011	0.216	0	0.5978	1	0.216	1	0.3552	0.75	Norm	sct
353	0	2435	2212	0.1376	0	0.5576	1	0.1376	1	0.2419	0.8	Norm	sct
165	0	2435	2400	0.0643	0	0.52	1	0.0643	1	0.1209	0.85	Norm	sct
45	0	2435	2520	0.0175	0	0.496	1	0.0175	1	0.0345	0.9	Norm	sct
3	0	2435	2562	0.0012	0	0.4876	1	0.0012	1	0.0023	0.95	Norm	sct
2507	5	2430	58	0.9774	0.0021	0.9874	0.998	0.9774	0.9979	0.9876	0	Norm	true
2507	5	2430	58	0.9774	0.0021	0.9874	0.998	0.9774	0.9979	0.9876	0.05	Norm	true
