TP	FP	TN	FN	TPR	FPR	Accuracy	Precision	Recall	Specificity	F1_Score	RSQ	parameter	parameter.value
2497	110	2325	68	0.9735	0.0452	0.9644	0.9578	0.9735	0.9548	0.9656	0	Method	Doane
2497	110	2325	68	0.9735	0.0452	0.9644	0.9578	0.9735	0.9548	0.9656	0.05	Method	Doane
2497	110	2325	68	0.9735	0.0452	0.9644	0.9578	0.9735	0.9548	0.9656	0.1	Method	Doane
2497	109	2326	68	0.9735	0.0448	0.9646	0.9582	0.9735	0.9552	0.9658	0.15	Method	Doane
2497	102	2333	68	0.9735	0.0419	0.966	0.9608	0.9735	0.9581	0.9671	0.2	Method	Doane
2497	99	2336	68	0.9735	0.0407	0.9666	0.9619	0.9735	0.9593	0.9676	0.25	Method	Doane
2492	89	2346	73	0.9715	0.0366	0.9676	0.9655	0.9715	0.9634	0.9685	0.3	Method	Doane
2486	76	2359	79	0.9692	0.0312	0.969	0.9703	0.9692	0.9688	0.9698	0.35	Method	Doane
2469	55	2380	96	0.9626	0.0226	0.9698	0.9782	0.9626	0.9774	0.9703	0.4	Method	Doane
2449	35	2400	116	0.9548	0.0144	0.9698	0.9859	0.9548	0.9856	0.9701	0.45	Method	Doane
2420	17	2418	145	0.9435	0.007	0.9676	0.993	0.9435	0.993	0.9676	0.5	Method	Doane
2381	7	2428	184	0.9283	0.0029	0.9618	0.9971	0.9283	0.9971	0.9614	0.55	Method	Doane
2328	4	2431	237	0.9076	0.0016	0.9518	0.9983	0.9076	0.9984	0.9508	0.6	Method	Doane
2266	1	2434	299	0.8834	4e-04	0.94	0.9996	0.8834	0.9996	0.9379	0.65	Method	Doane
2188	0	2435	377	0.853	0	0.9246	1	0.853	1	0.9207	0.7	Method	Doane
2046	0	2435	519	0.7977	0	0.8962	1	0.7977	1	0.8874	0.75	Method	Doane
1826	0	2435	739	0.7119	0	0.8522	1	0.7119	1	0.8317	0.8	Method	Doane
1464	0	2435	1101	0.5708	0	0.7798	1	0.5708	1	0.7267	0.85	Method	Doane
988	0	2435	1577	0.3852	0	0.6846	1	0.3852	1	0.5561	0.9	Method	Doane
409	0	2435	2156	0.1595	0	0.5688	1	0.1595	1	0.2751	0.95	Method	Doane
2497	82	2353	68	0.9735	0.0337	0.97	0.9682	0.9735	0.9663	0.9708	0	Method	Freedman.Diaconis
2497	82	2353	68	0.9735	0.0337	0.97	0.9682	0.9735	0.9663	0.9708	0.05	Method	Freedman.Diaconis
2496	68	2367	69	0.9731	0.0279	0.9726	0.9735	0.9731	0.9721	0.9733	0.1	Method	Freedman.Diaconis
2480	32	2403	85	0.9669	0.0131	0.9766	0.9873	0.9669	0.9869	0.977	0.15	Method	Freedman.Diaconis
2447	8	2427	118	0.954	0.0033	0.9748	0.9967	0.954	0.9967	0.9749	0.2	Method	Freedman.Diaconis
2393	2	2433	172	0.9329	8e-04	0.9652	0.9992	0.9329	0.9992	0.9649	0.25	Method	Freedman.Diaconis
2349	0	2435	216	0.9158	0	0.9568	1	0.9158	1	0.956	0.3	Method	Freedman.Diaconis
2272	0	2435	293	0.8858	0	0.9414	1	0.8858	1	0.9394	0.35	Method	Freedman.Diaconis
2204	0	2435	361	0.8593	0	0.9278	1	0.8593	1	0.9243	0.4	Method	Freedman.Diaconis
2068	0	2435	497	0.8062	0	0.9006	1	0.8062	1	0.8927	0.45	Method	Freedman.Diaconis
1933	0	2435	632	0.7536	0	0.8736	1	0.7536	1	0.8595	0.5	Method	Freedman.Diaconis
1767	0	2435	798	0.6889	0	0.8404	1	0.6889	1	0.8158	0.55	Method	Freedman.Diaconis
1530	0	2435	1035	0.5965	0	0.793	1	0.5965	1	0.7473	0.6	Method	Freedman.Diaconis
1306	0	2435	1259	0.5092	0	0.7482	1	0.5092	1	0.6748	0.65	Method	Freedman.Diaconis
1044	0	2435	1521	0.407	0	0.6958	1	0.407	1	0.5786	0.7	Method	Freedman.Diaconis
804	0	2435	1761	0.3135	0	0.6478	1	0.3135	1	0.4773	0.75	Method	Freedman.Diaconis
573	0	2435	1992	0.2234	0	0.6016	1	0.2234	1	0.3652	0.8	Method	Freedman.Diaconis
359	0	2435	2206	0.14	0	0.5588	1	0.14	1	0.2456	0.85	Method	Freedman.Diaconis
149	0	2435	2416	0.0581	0	0.5168	1	0.0581	1	0.1098	0.9	Method	Freedman.Diaconis
7	0	2435	2558	0.0027	0	0.4884	1	0.0027	1	0.0054	0.95	Method	Freedman.Diaconis
2498	95	2340	67	0.9739	0.039	0.9676	0.9634	0.9739	0.961	0.9686	0	Method	Rice
2498	95	2340	67	0.9739	0.039	0.9676	0.9634	0.9739	0.961	0.9686	0.05	Method	Rice
2498	94	2341	67	0.9739	0.0386	0.9678	0.9637	0.9739	0.9614	0.9688	0.1	Method	Rice
2498	85	2350	67	0.9739	0.0349	0.9696	0.9671	0.9739	0.9651	0.9705	0.15	Method	Rice
2493	64	2371	72	0.9719	0.0263	0.9728	0.975	0.9719	0.9737	0.9734	0.2	Method	Rice
2475	38	2397	90	0.9649	0.0156	0.9744	0.9849	0.9649	0.9844	0.9748	0.25	Method	Rice
2459	19	2416	106	0.9587	0.0078	0.975	0.9923	0.9587	0.9922	0.9752	0.3	Method	Rice
2427	4	2431	138	0.9462	0.0016	0.9716	0.9984	0.9462	0.9984	0.9716	0.35	Method	Rice
2382	0	2435	183	0.9287	0	0.9634	1	0.9287	1	0.963	0.4	Method	Rice
2339	0	2435	226	0.9119	0	0.9548	1	0.9119	1	0.9539	0.45	Method	Rice
