TP	FP	TN	FN	TPR	FPR	Accuracy	Precision	Recall	Specificity	F1_Score	RSQ	parameter	parameter.value
2497	161	2274	68	0.9735	0.0661	0.9542	0.9394	0.9735	0.9339	0.9562	0	Compression	0.8
2497	161	2274	68	0.9735	0.0661	0.9542	0.9394	0.9735	0.9339	0.9562	0.05	Compression	0.8
2497	161	2274	68	0.9735	0.0661	0.9542	0.9394	0.9735	0.9339	0.9562	0.1	Compression	0.8
2497	161	2274	68	0.9735	0.0661	0.9542	0.9394	0.9735	0.9339	0.9562	0.15	Compression	0.8
2497	161	2274	68	0.9735	0.0661	0.9542	0.9394	0.9735	0.9339	0.9562	0.2	Compression	0.8
2497	153	2282	68	0.9735	0.0628	0.9558	0.9423	0.9735	0.9372	0.9576	0.25	Compression	0.8
2495	148	2287	70	0.9727	0.0608	0.9564	0.944	0.9727	0.9392	0.9581	0.3	Compression	0.8
2493	136	2299	72	0.9719	0.0559	0.9584	0.9483	0.9719	0.9441	0.96	0.35	Compression	0.8
2489	115	2320	76	0.9704	0.0472	0.9618	0.9558	0.9704	0.9528	0.963	0.4	Compression	0.8
2477	95	2340	88	0.9657	0.039	0.9634	0.9631	0.9657	0.961	0.9644	0.45	Compression	0.8
2463	64	2371	102	0.9602	0.0263	0.9668	0.9747	0.9602	0.9737	0.9674	0.5	Compression	0.8
2436	34	2401	129	0.9497	0.014	0.9674	0.9862	0.9497	0.986	0.9676	0.55	Compression	0.8
2394	14	2421	171	0.9333	0.0057	0.963	0.9942	0.9333	0.9943	0.9628	0.6	Compression	0.8
2352	8	2427	213	0.917	0.0033	0.9558	0.9966	0.917	0.9967	0.9551	0.65	Compression	0.8
2294	2	2433	271	0.8943	8e-04	0.9454	0.9991	0.8943	0.9992	0.9438	0.7	Compression	0.8
2217	0	2435	348	0.8643	0	0.9304	1	0.8643	1	0.9272	0.75	Compression	0.8
2061	0	2435	504	0.8035	0	0.8992	1	0.8035	1	0.8911	0.8	Compression	0.8
1784	0	2435	781	0.6955	0	0.8438	1	0.6955	1	0.8204	0.85	Compression	0.8
1318	0	2435	1247	0.5138	0	0.7506	1	0.5138	1	0.6789	0.9	Compression	0.8
660	0	2435	1905	0.2573	0	0.619	1	0.2573	1	0.4093	0.95	Compression	0.8
2497	107	2328	68	0.9735	0.0439	0.965	0.9589	0.9735	0.9561	0.9661	0	Compression	1.1
2497	107	2328	68	0.9735	0.0439	0.965	0.9589	0.9735	0.9561	0.9661	0.05	Compression	1.1
2497	107	2328	68	0.9735	0.0439	0.965	0.9589	0.9735	0.9561	0.9661	0.1	Compression	1.1
2497	106	2329	68	0.9735	0.0435	0.9652	0.9593	0.9735	0.9565	0.9663	0.15	Compression	1.1
2497	101	2334	68	0.9735	0.0415	0.9662	0.9611	0.9735	0.9585	0.9673	0.2	Compression	1.1
2497	97	2338	68	0.9735	0.0398	0.967	0.9626	0.9735	0.9602	0.968	0.25	Compression	1.1
2493	90	2345	72	0.9719	0.037	0.9676	0.9652	0.9719	0.963	0.9685	0.3	Compression	1.1
2486	76	2359	79	0.9692	0.0312	0.969	0.9703	0.9692	0.9688	0.9698	0.35	Compression	1.1
2472	54	2381	93	0.9637	0.0222	0.9706	0.9786	0.9637	0.9778	0.9711	0.4	Compression	1.1
2449	36	2399	116	0.9548	0.0148	0.9696	0.9855	0.9548	0.9852	0.9699	0.45	Compression	1.1
2420	17	2418	145	0.9435	0.007	0.9676	0.993	0.9435	0.993	0.9676	0.5	Compression	1.1
2389	7	2428	176	0.9314	0.0029	0.9634	0.9971	0.9314	0.9971	0.9631	0.55	Compression	1.1
2334	5	2430	231	0.9099	0.0021	0.9528	0.9979	0.9099	0.9979	0.9519	0.6	Compression	1.1
2273	1	2434	292	0.8862	4e-04	0.9414	0.9996	0.8862	0.9996	0.9395	0.65	Compression	1.1
2194	0	2435	371	0.8554	0	0.9258	1	0.8554	1	0.922	0.7	Compression	1.1
2052	0	2435	513	0.8	0	0.8974	1	0.8	1	0.8889	0.75	Compression	1.1
1829	0	2435	736	0.7131	0	0.8528	1	0.7131	1	0.8325	0.8	Compression	1.1
1480	0	2435	1085	0.577	0	0.783	1	0.577	1	0.7318	0.85	Compression	1.1
998	0	2435	1567	0.3891	0	0.6866	1	0.3891	1	0.5602	0.9	Compression	1.1
415	0	2435	2150	0.1618	0	0.57	1	0.1618	1	0.2785	0.95	Compression	1.1
2498	125	2310	67	0.9739	0.0513	0.9616	0.9523	0.9739	0.9487	0.963	0	Compression	1.2
2498	125	2310	67	0.9739	0.0513	0.9616	0.9523	0.9739	0.9487	0.963	0.05	Compression	1.2
2498	125	2310	67	0.9739	0.0513	0.9616	0.9523	0.9739	0.9487	0.963	0.1	Compression	1.2
