TP	FP	TN	FN	TPR	FPR	Accuracy	Precision	Recall	Specificity	F1_Score	RSQ	parameter	parameter.value
2417	28	2407	148	0.9423	0.0115	0.9648	0.9885	0.9423	0.9885	0.9649	0	Family	Gaussian
2417	28	2407	148	0.9423	0.0115	0.9648	0.9885	0.9423	0.9885	0.9649	0.05	Family	Gaussian
2417	28	2407	148	0.9423	0.0115	0.9648	0.9885	0.9423	0.9885	0.9649	0.1	Family	Gaussian
2417	28	2407	148	0.9423	0.0115	0.9648	0.9885	0.9423	0.9885	0.9649	0.15	Family	Gaussian
2417	27	2408	148	0.9423	0.0111	0.965	0.989	0.9423	0.9889	0.9651	0.2	Family	Gaussian
2417	26	2409	148	0.9423	0.0107	0.9652	0.9894	0.9423	0.9893	0.9653	0.25	Family	Gaussian
2417	23	2412	148	0.9423	0.0094	0.9658	0.9906	0.9423	0.9906	0.9658	0.3	Family	Gaussian
2417	23	2412	148	0.9423	0.0094	0.9658	0.9906	0.9423	0.9906	0.9658	0.35	Family	Gaussian
2407	20	2415	158	0.9384	0.0082	0.9644	0.9918	0.9384	0.9918	0.9643	0.4	Family	Gaussian
2391	16	2419	174	0.9322	0.0066	0.962	0.9934	0.9322	0.9934	0.9618	0.45	Family	Gaussian
2358	8	2427	207	0.9193	0.0033	0.957	0.9966	0.9193	0.9967	0.9564	0.5	Family	Gaussian
2290	4	2431	275	0.8928	0.0016	0.9442	0.9983	0.8928	0.9984	0.9426	0.55	Family	Gaussian
2215	4	2431	350	0.8635	0.0016	0.9292	0.9982	0.8635	0.9984	0.926	0.6	Family	Gaussian
2085	1	2434	480	0.8129	4e-04	0.9038	0.9995	0.8129	0.9996	0.8966	0.65	Family	Gaussian
1907	0	2435	658	0.7435	0	0.8684	1	0.7435	1	0.8529	0.7	Family	Gaussian
1653	0	2435	912	0.6444	0	0.8176	1	0.6444	1	0.7838	0.75	Family	Gaussian
1317	0	2435	1248	0.5135	0	0.7504	1	0.5135	1	0.6785	0.8	Family	Gaussian
945	0	2435	1620	0.3684	0	0.676	1	0.3684	1	0.5385	0.85	Family	Gaussian
538	0	2435	2027	0.2097	0	0.5946	1	0.2097	1	0.3468	0.9	Family	Gaussian
152	0	2435	2413	0.0593	0	0.5174	1	0.0593	1	0.1119	0.95	Family	Gaussian
2497	151	2284	68	0.9735	0.062	0.9562	0.943	0.9735	0.938	0.958	0	Family	Negative_Binomial_1
2497	151	2284	68	0.9735	0.062	0.9562	0.943	0.9735	0.938	0.958	0.05	Family	Negative_Binomial_1
2497	151	2284	68	0.9735	0.062	0.9562	0.943	0.9735	0.938	0.958	0.1	Family	Negative_Binomial_1
2497	151	2284	68	0.9735	0.062	0.9562	0.943	0.9735	0.938	0.958	0.15	Family	Negative_Binomial_1
2497	148	2287	68	0.9735	0.0608	0.9568	0.944	0.9735	0.9392	0.9585	0.2	Family	Negative_Binomial_1
2496	143	2292	69	0.9731	0.0587	0.9576	0.9458	0.9731	0.9413	0.9593	0.25	Family	Negative_Binomial_1
2493	131	2304	72	0.9719	0.0538	0.9594	0.9501	0.9719	0.9462	0.9609	0.3	Family	Negative_Binomial_1
2492	111	2324	73	0.9715	0.0456	0.9632	0.9574	0.9715	0.9544	0.9644	0.35	Family	Negative_Binomial_1
2480	82	2353	85	0.9669	0.0337	0.9666	0.968	0.9669	0.9663	0.9674	0.4	Family	Negative_Binomial_1
